Nr projektu;Lokalizacja projektu;Nazwa osiedla;Kategoria projektu;Suma kosztów;Wszystkie opinie;Nazwa projektu
494;róg ul. Krzyckiej i ul. ks. Piotra Wawrzyniaka, dzia³ka nr 7 i 6/1;Krzyki-Partynice;piesze/rowerowe;29000;Tak;Remont chodnika i wytyczenie przejœcia dla pieszych na rogu ulicy Krzyckiej i ul. ks. Piotra Wawrzyniaka
495;AR_30, 34/2 W³asnoœæ Gminy w zarz¹dzie, u¿ytkowaniu;Plac Grunwaldzki;zieleñ/rekreacja;20000;Nie;Zasadzenie krzewów w szczelinach przeciwlotniczych na zieleñcu przy ul. L. Pasteura
496;Po³udnie, AR_38, 29, Gaj, AR_7, 2-4, Gaj, AR_13, 21;Gaj, Borek, granice wroc³awskich osiedli;zieleñ/rekreacja;149000;Tak;Œcie¿ka biegowa wraz z stacjami do æwiczeñ si³owych i cardio w przestrzeni Parku Skowroniego.
497;Po³udnie AR_35 28/8;Powstañców Œl¹skich;place zabaw;125000;Nie;"PLAC ZABAW  ""TÊCZOWA KRAINA"""
498;"ul. Œwiêtokrzyska po stronie numerów nieparzystych
ul. Boles³awa Prusa na odcinku Œwiêtokrzyska-Ledóchowskiego
Park im. œw Edyty Stein na odcinku pomiêdzy ul. Ledóchowskiego a ul. Edyty Stein oraz chodnik przylegaj¹cy do ul. œw. Edyty Stein
ul. œw. Edyty Stein
Park To³py
Skwer Ludzi ze Znakiem “P” 
";O³bin;zieleñ/rekreacja;1893500;Nie;Zielona Trasa Œródmiejska
499;"Tarnogaj, AR_1, 13
Tarnogaj, AR_4, 1
Tarnogaj, AR_2, 5/3";Tarnogaj;drogowe;46000;Tak;Poprawa bezpieczeñstwa transportu (samochodem i pieszo) do przedszkoli przy ulicy Piêknej 
500;"ul. NiedŸwiedzia 26-28
54-233 Wroc³aw
Obrêb: Popowice
Arkusz: 11
nr dzia³ki: 14/2 i 14/3
";Pilczyce-Kozanów-Popowice P³n.;edukacja;137000;Tak;"""PRZEZORNE MISIE""- budowa miasteczka ruchu drogowego na ""Misiowej Polanie"" na terenie Przedszkola nr 104 przy ul. NiedŸwiedziej 26-28 we Wroc³awiu"
501;Papiernicza za ekranami akustycznymi. 5/6.;Pilczyce-Kozanów-Popowice P³n.;drogowe;18000;Tak;Poszerzenie parkingu.
502;Stare Miasto, AR_32, 34/14;Przedmieœcie Œwidnickie;zieleñ/rekreacja;61500;Tak;Zagospodarowanie terenu miêdzy budynkami przy pl. Muzealnym, ul. Pi³sudskiego i pl. Legionów - drzewa, krzewy, plac zabaw
503;Uk³ad 2000 strefa 6, UL. ZEMSKA (PRZY GIM NR 34);Nowy Dwór ;sport;1550000;Nie;Profesionalne Centrum Sportu na Fabrycznej. Wszechstronne. Dla ka¿dego coœ mi³ego.
504;ul. Inflancka 13 - teren przylegaj¹cy do pasa drogowego pomiêdzy drog¹ a chodnikiem przylegaj¹cym do szko³y. Lokalizacja Obrêb Psie Pole, nr arkusza mapy 24, Numery dzia³ek  8/7, 8/16, 8/17 , 23/13;Psie Pole-Zawidawie;drogowe;97300;Tak;Parking przed Zespo³em Szkolno-Przedszkolnym nr 3 przy ul. Inflanckiej 13 we Wroc³awiu
505;¯erniki, AR_22, 2/8;¯erniki ;inne;500000;Nie;Teren zielony, park z ³awkami, œcie¿kami i kub³ami, na ¯ernikach
506;Teren podwórza przy posesji Gorlicka 17, 17a, 17b wraz z dojazdem. Psie Pole, AR_22, 62;Psie Pole-Zawidawie;rewitalizacja;200000;Tak;Parking przy cmentarzu na ul. Gorlickiej oraz zagospodarowanie otoczenia posesji przy ul. Gorlickiej 17
507;Wa³y Œlêzy od mostu miêdzy Grabiszyñsk¹ i Solskiego na pó³noc oraz na wschód od k³adki oporowskiej. ;Oporów, Muchobór Wielki, Klecina;piesze/rowerowe;500000;Tak;Utworzenie regularnych œcie¿ek na wa³ach Œlêzy, na Oporowie oraz na Muchoborze Wielkim i na Klecinie
508;Boisko przy ZS nr 18 ul. M³odych Techników 58, 53-645 Wroc³aw. Numer geodezyjny dzia³ki: A.M.IV16/2 16/3 16/4 obrêb Stare Miasto.;Szczepin;edukacja;500000;Tak;Modernizacja i rozbudowa obiektu lekkoatletycznego przy ZS nr 18 we Wroc³awiu.
509;Oporów, AR_5, 127/7;Oporów;zieleñ/rekreacja;150000;Nie;Otwarta si³ownia, miêdzy ulicami Ostroroga a Bukowskiego, w ci¹gu zielonych alejek na Oporowie
510;Teren wzd³u¿ ulicy Avicenny;Muchobór Wielki;piesze/rowerowe;500000;Tak;Ci¹g pieszo-rowerowy wzd³u¿ ulicy Avicenny, po zachodniej jej stronie, jako przed³u¿enie chodnika istniej¹cego w okolicach rozdzielni Poczty Polskiej
511;Ró¿ne budynki publiczne, g³ównie w miejscach gdzie jest sporo ruchu i przechodniów, miejsca u¿ytecznoœci publicznej;Wroc³aw;inne;150000;Nie;Z³ote myœli i otwarte inspiruj¹ce pytania w przestrzeni miasta, pozytywnie zap³adniaj¹ce intelekt
512;Plac Grunwaldzki, AM - 15, dz. 106/19 - czêœæ tej dzia³ki wyznaczona przez granice: wspólnoty mieszkaniowej Reja 39, Przedszkola nr 74 i ci¹gu gara¿y przy ul. Krzywej;O³bin;rewitalizacja;2000000;Tak;Rewitalizacja wnêtrza podwórzowego ograniczonego ulicami: Reja nr 23 - 37 i Sienkiewicza 96 - 106
513;pl. Orl¹t Lwowskich  4-12, Obrêb Stare Miasto, Arkusz 7, nr dzia³ki 31/24;Przedmieœcie Œwidnickie;place zabaw;150000;Nie;Plac zabaw dla dzieci przy pl. Orl¹t Lwowskich, obszar przy budynku mieszkalnym 4-12 
514;"Analiza w³asnoœci: Stare Miasto, AR_8, 16/40 
Typ w³asnoœci: W³asnoœæ Gminy
Nazwa obrêbu: Stare Miasto
Numer arkusza mapy: 8 
Numer dzia³ki: 16/40
";Szczepin;rewitalizacja;904820;Nie;Projekt zagospodarowania zdegradowanej przestrzeni osiedla mieszkaniowego przy ul. Braniborskiej we Wroc³awiu z przeznaczeniem jej na parking osiedlowy i skwer.
515;PL.OTL¥T LWOWSKICH 4-12, STARE MIASTO, ARKUSZ A7, NR DZIA£KI 31/24;Przedmieœcie Œwidnickie;drogowe;254900;Nie;Remont chodnika dla pieszych, stworzenie miejsc parkingowych, wymiana nawierzchni drogi wewnêtrznej i uzupe³nienie drzewostanu przy pl. Orl¹t Lwowskich, obszar przy budynku mieszkalnym 4-12
516;"Miejscowy Plan Zagospodarowania Przestrzennego7ZP/4
Wojnów, AR_10, 12/45 i Wojnów, AR_10, 9/10";Strachocin-Swojczyce-Wojnów;place zabaw;150000;Nie;Rowerowy Plac Zabaw
517;Wroc³aw, osiedle Strachocin, obrêb Strachocin, arkusz AR _3, dzia³ki nr : 80/2, 82/8, 85/4 oraz 86 , w³asnoœæ Gmina Wroc³aw, pod zarz¹dem jednostki miejskiej. ), ;Strachocin-Swojczyce-Wojnów;drogowe;149900;Nie;Budowa nawierzchni siêgacza ulicy W³oœciañskiej od numeru 14-16c
518;Wroc³aw, osiedle Strachocin, obrêb Strachocin, arkusz AR _3, dzia³ka  85/4 oraz 86 , w³asnoœæ Gmina Wroc³aw, pod zarz¹dem jednostki miejskiej. ;Strachocin-Swojczyce-Wojnów;drogowe;125000;Nie;Remont siêgacza W³oœciañskiej od numeru 30-32b
519;O³bin, ul. Nowowiejska 15-21, nr dzia³ki: 47, 57, 58, 59;O³bin;rewitalizacja;150000;Tak;Rewitalizacja podwórka ul. Nowowiejska / Wygodna
520;dz. nr. 10 i 38/2, AM-29, obrêb Po³udnie;Tarnogaj;drogowe;78873;Tak;,,Zwiêkszenie bezpieczeñstwa drogowego w czêœci przebiegu ul. Paczkowskiej i Nyskiej” 
521;"Ul. Borowska 181-187; Osiedle Gaj; 50-553 Wroc³aw; Nr geodezyjny dzia³ki: AR_8; 22/1";Gaj;edukacja;148000;Tak;Œladami Legend Wroc³awskich
522;Ca³y Wroc³aw;Wroc³aw;inne;1495000;Tak;Przystosowanie kluczowych przystanków do potrzeb osób niepe³nosprawnych
523;Miejsce wypoczynku z placem zabaw dla dzieci;Kleczków;place zabaw;145000;Tak;Teren Rekreacyjny dla rodzin z dzieæmi w podwórzu ul .E.  Zegad³owicza - Wybrze¿e C. Korzeniowskiego
524;ulica Krzycka;Krzyki-Partynice;inne;70000;Tak;Oczyszczenie i konserwacja przejazdu pod nasypem kolejowym na ulicy Krzyckiej
525;Ca³e Osiedle Krzyki-Partynice;Krzyki-Partynice;inne;150000;Nie;Oznakowanie obiektów zabytkowych na terenie osiedla Krzyki-Partynice
526;Ca³e osiedle Krzyki Partynice;Krzyki-Partynice;drogowe;500000;Tak;Bezpieczne Krzyki
527;ul. Rogowska 18a , dzia³ka nr 8/33;Nowy Dwór ;edukacja;123383;Tak;Remont tarasów wokó³ Przedszkola nr 148
528;Wroc³aw, osiedle Strachocin, obrêb Strachocin, arkusz AR _3, dzia³ki nr : 80/2 w³asnoœæ Gmina Wroc³aw, pod zarz¹dem jednostki miejskiej ZDIUM;Strachocin-Swojczyce-Wojnów;drogowe;149900;Tak;Budowa nawierzchni siêgacza ulicy W³oœciañskiej od numeru 14-16c z odwodnieniem
529;Wroc³aw, osiedle Strachocin, obrêb Strachocin, arkusz AR _3, dzia³ki nr : 80/2 w³asnoœæ Gmina Wroc³aw, pod zarz¹dem jednostki miejskiej ZDIUM;Strachocin-Swojczyce-Wojnów;drogowe;110000;Tak;Budowa nawierzchni siêgacza ulicy W³oœciañskiej od numeru 30-32b z odwodnieniem
530;Wroc³aw, osiedle Strachocin, obrêb Strachocin, arkusz AR _3, dzia³ki nr : 85  w³asnoœæ Gmina Wroc³aw, pod zarz¹dem jednostki miejskiej ZDIUM;Strachocin-Swojczyce-Wojnów;drogowe;95000;Tak;Budowa nawierzchni siêgacza ulicy W³oœciañskiej od numeru 42-44az odwodnieniem
531;Wroc³aw ul. Powstañców Œl¹skich 210-218, 53-140;Borek;edukacja;490000;Tak;budowa boiska szkolnego przy Zespole Szkó³ nr 4 we Wroc³awiu
532;Wroc³aw, osiedle Strachocin, obrêb Strachocin, arkusz AR _3, dzia³ki nr : 86 w³asnoœæ Gmina Wroc³aw, pod zarz¹dem jednostki miejskiej ZDIUM;Strachocin-Swojczyce-Wojnów;drogowe;149900;Tak;Budowa nawierzchni siêgacza ulicy W³oœciañskiej od numeru 50-48 z odwodnieniem
533;Wroc³aw, osiedle Strachocin, obrêb Strachocin, arkusz AR _3, dzia³ki nr :65/1 w³asnoœæ Gmina Wroc³aw, pod zarz¹dem jednostki miejskiej ZDIUM;Strachocin-Swojczyce-Wojnów;drogowe;120000;Tak;Budowa nawierzchni siêgacza ulica Zagrodnicza od 13-13b
534;Dzia³ka 37, obrêb pl. Grunwaldzki;Nadodrze;inne;310000;Nie;Dolnoœl¹ski ogród skalny - zagospodarowanie Bulwaru J. Zwierzyckiego z wykorzystaniem ska³ z Dolnego Œl¹ska
535;"54-510 Wroc³aw, ul. ¯ernicka 242 
Obrêb ¯erniki , AM 30, dzia³ka nr 38

koniecznoœæ zmiany planu przestrzennego 
lub lokalizacja zamienna
ul. ¯ernicka dzia³ki nr  26, 27, 28 nale¿¹ce do Gminy Wroc³aw";¯erniki ;inne;1800000;Nie;Odbudowa szko³y katolickiej z przeznaczeniem na Dom Kultury im. Jana Paw³a II
536;po³udniowa strona nasypu kolejowego od ulicy Rac³awickiej do ulicy Wyœcigowej;Krzyki-Partynice;piesze/rowerowe;492900;Tak;Œcie¿ka spacerowo-rowerowa przy nasypie kolejowym od Górki Skarbowców do ulicy Wyœcigowej
537;Osobowice, AR_16, 1/46;Osobowice - Rêdzin;place zabaw;460000;Tak;Pumptrack - Rowerowy plac zabaw na Osobowicach
538;ulica Halna;Krzyki-Partynice;piesze/rowerowe;393500;Tak;Stworzenie ulicy Halnej jako œcie¿ki pieszo-rowerowej
539;202 ul Kosynierów Gdyñskich (Maracan);Biskupin-Sêpolno-D¹bie-Bartoszowice;sport;150000;Nie;budowa boiska softballowo- baseballowego  na Maracanie
540;podwórze ograniczone ulicami: Piastowska, Sienkiewicza, Minkowskiego, Grunwaldzka,  AM-29, obrêb: Plac Grunwaldzki, dz. nr 55/13;Plac Grunwaldzki;rewitalizacja;150000;Tak;Rewitalizacja podwórka kwarta³u ulic: Piastowska, Sienkiewicza, Minkowskiego, Grunwaldzka 
541;"Ul. Rdestowa (9/4, 9/2, 9/1 AM5 obrêb Strachowice ; 1/1, 1/2 AM-26 obrêb Jerzmanowo; 20, 19  AM 23 obrêb Jerzmanowo, 58, 32 AM-22 obrêb Jerzmanowo )";Jerzmanowo - Jarno³tów -Strachowice - Osiniec;piesze/rowerowe;700000;Nie;Budowa chodnika asfaltowego pomiêdzy ul.Graniczn¹ i Jerzmanowsk¹
542;Dzia³ki miejskie bezpoœrednio przyleg³e do ul. Bacciarellego.;Biskupin-Sêpolno-D¹bie-Bartoszowice;drogowe;150000;Tak;Spokojnie i zielono na Bacciarellego. Uspokojenie ruchu oraz podniesienie bezpieczeñstwa pieszych w ci¹gu ulicy Bacciarellego na osiedlu Bartoszowice wraz z uzupe³nieniem drzewostanu.
543;"a)	ul. Górecka, Stab³owice, AM-7  dzia³ki nr 20/1, 22, 20/1
b)	ul. Stab³owicka 1-110, Stab³owice, AM-16 , dzia³ka 41/9 oraz AM-7  dzia³ka 17
";Leœnica;drogowe;150000;Nie;Bezpieczne Stab³owice – Park Stab³owicki
544;Wnêtrze miêdzyblokowe Rynek 24, 25, 26, 27, 28, ul. Œwidnicka 1-3-5, ul. Ofiar Oœwiêcimskich 19, Stare Miasto, AR_37, 2/45;Stare Miasto;inne;0;Tak;Zabudowa miejsca zbiórki odpadów komunalnych we wnêtrzu miêdzyblokowym w kwartale Rynek 25, 26, 27, 28, ul. Œwidnicka 1-3-5, ul. Ofiar Oœwiêcimskich 19
545;"Gajowicka od ul.Orlej do ul.Zaporoskiej obr.Borek, nr drogi 105818, droga gminna, dzielnica Krzyki-Fabryczna
";Borek, Gajowice ;drogowe;1500000;Tak;Naprawa nawierzchni GAJOWICKA
546;Ksiê¿e Ma³e, AR_7, 25/2  (w³asnoœæ Gminy w zarz¹dzie i u¿ytkowaniu);Ksiê¿e;piesze/rowerowe;240000;Tak;Remont ci¹gu pieszo-rowerowego przy Chorzowskiej 1-17
547;Ul Wejherowska, Ar_8, nr dzia³ki 1/1,2/18,2/19;Pilczyce-Kozanów-Popowice P³n.;drogowe;492000;Tak;Budowa przejœcia dla pieszych przez ul. Wejherowsk¹ na wysokoœci ul. Bobrzej 44, przy SP nr 3.
548;"Przedszkole nr 121 „Zielone Przedszkole” ul. Tramwajowa 34 51-621 Wroc³aw
Dzia³ka 65/1 symbol dzia³ki A10 UO, zespó³ urbanistyczny WUWA, wpisany do rejestru zabytków  pod nr A/1003 w dniu 29.03.2007 r";Biskupin-Sêpolno-D¹bie-Bartoszowice;edukacja;78390;Tak;"Zielone tajemnice w ""Zielonym Przedszkolu"""
549;ul. Stacyjna, dzia³ka: Stare Miasto, AR_2, 3/20 ;Szczepin;inne;180000;Tak;Oœwietlenie i kompleksowa renowacja skweru przy dworcu Wroc³aw-Miko³ajów, miêdzy ul. Stacyjn¹, ul. Legnick¹ i ul. Boles³awieck¹
550;Osobowice, AR_16, 1/45;Osobowice - Rêdzin;zieleñ/rekreacja;500000;Nie;Budowa placu zabaw i placu rekreacyjnego, czyli nowej przestrzeni publicznej na Osobowicach dla m³odszych, starszych i najstarszych
551;AR_35, 11;Przedmieœcie Œwidnickie, Przedmieœcie O³awskie;piesze/rowerowe;420000;Tak;Uspokojenie ul. Koœciuszki
552;"TEREN ZESPO£U SZKÓ£ NR 15 WE WROC£AWIU, UL. CHOPINA 9B 
ZALESIE AR_4,2";Zacisze-Zalesie-Szczytniki;edukacja;300000;Tak;BEZPIECZNIE NA CHOPINA
553;"ul. Zatorska 11 
51-215 Wroc³aw
Numer geodezyjny dzia³ki: 9";Psie Pole-Zawidawie;sport;896820;Tak;Budowa familijnego boiska wielofunkcyjnego na Zakrzowie
554;"ul. Zatorska 11
51-215 Wroc³aw,
Numer geodezyjny dzia³ki: 9";Psie Pole-Zawidawie;drogowe;245662;Tak;Budowa parkingu przy przedszkolu i szkole Marco Polo na Zakrzowie
555;Stare Miasto, AR_35, 6/62;Przedmieœcie Œwidnickie;drogowe;50000;Tak;Uporz¹dkowanie parkowania  i remont chodników na Pl. Koœciuszki
556;"ul. Zielna 42,
51-313 Wroc³aw,
Numer geodezyjny dzia³ki: 66";Psie Pole-Zawidawie;edukacja;673196;Tak;Kompleks rekreacyjno-sportowy przy gimnazjum i przedszkolu na Psim Polu
557;51-315 Wroc³aw ul. Kie³czowska 43,  dz. nr 1, AM – 23, obrêb Psie Pole;Psie Pole-Zawidawie;edukacja;1996423;Tak;Budowa obszaru aktywnoœci ruchowej w oparciu o istniej¹c¹ infrastrukturê zewnêtrzn¹ Lotniczych Zak³adów Naukowych pod nazw¹ PSIEPOLOWY PARK REKREACJI
558;Mobilne laboratorium gromadz¹ce i udostêpniaj¹ce dane o zanieczyszczeniu na wroc³awskich osiedlach w dowolnie wskazanym przez mieszkañca punkcie miasta nieobjêtym innym systemem pomiarowym.;Wroc³aw;inne;497493;Nie;Czyste powietrze i cisza na Twoim osiedlu – mobilne laboratorium do gromadzenia i udostêpnienia danych o zanieczyszczeniu powietrza i ha³asie na wroc³awskich osiedlach na proœbê mieszkañców.
559;"ul.Raciborska 2, nr 24
ul.Stanów Zjednoczonych 88, nr 85/2
ul. Monterska 4, nr 59/5
ul.Starogajowa 68a, nr 46
ul.Roosevelta 15, nr 11
ul.Piêkna 56J, nr 4/11
ul.Zielna 42, nr 66
ul.Zatorska 11, nr 9";Wroc³aw;edukacja;23700;Tak;Monta¿ stojaków rowerowych przy placówkach oœwiatowych Familijnego Wroc³awia
560;projekt ma zostaæ zrealizowany na dwóch dzia³kach nale¿¹cych do Gminy Wroc³aw w obrêbie Gaj: Gaj, AR_14, 39/8 i Gaj AR_14, 47, przy ul. Borowskiej pomiêdzy numerami 262-272;Gaj;drogowe;493285;Nie;Nasza Droga - inwestycja w odcinek drogi gruntowej po³o¿onej pomiêdzy nasypem kolejowym a ul. Kukuczki we Wroc³awiu o d³ug. ³¹cznej 150m i szerokoœci 4,5-10m  - ³¹czna powierzchnia wynosi ok. 1105m2.
561;"ul. Ma³opanewska, obrêb: Popowice, AM-14, dz.14/1
w³aœciciel: Gmina Miejska Wroc³aw
w³adajacy: zarz¹d trwa³y ZDiUM";G¹dów-Popowice P³d. ;piesze/rowerowe;12000;Tak;Ma³opanewska – wjazd na œcie¿kê rowerow¹
562;Dziewiêæ stacji gromadz¹cych i udostêpniaj¹cych dane o zanieczyszczeniu powietrza na wroc³awskich osiedlach.;Wroc³aw;inne;1982975;Nie;Wroc³aw - miasto wolne od zanieczyszczeñ – poprawa zdrowia i komfortu ¿ycia mieszkañców Wroc³awia poprzez gromadzenie i udostêpnienie danych o zanieczyszczeniu powietrza.
563;Lokalizacja projektu jest rozproszenia poprzez dzia³ania na 32 szt. najbardziej rozpoznawanych mostach we Wroc³awiu. Adres/lokalizacja: rekomendowana lista mostów do oznakowania ujêta w za³¹czniki.;Wroc³aw;inne;64124;Tak;„Wroc³aw, miasto stu mostów – ³¹czy tradycjê, dumê, to¿samoœæ, dzia³anie. Projekt polegaj¹cy na trwa³ym oznakowaniu mostów dla u¿ytkowników Wroc³awskiego Wêz³a Wodnego”
564;Kozanów, AR_7, 36/8;Pilczyce-Kozanów-Popowice P³n.;zieleñ/rekreacja;54000;Nie;Rewitalizacja placu zabaw i obiektów sportowych dla dzieci z bloków
565;Dzia³ka 17/7 ul. NiedŸwiedzia ;Pilczyce-Kozanów-Popowice P³n.;piesze/rowerowe;500000;Tak;U³o¿enie nowej nawierzchni chodnika po zachodniej stronie ul. NiedŸwiedziej ( od rogu ul. Legnickiej do ul. Jeleniej ) oraz wyznaczenie miejsc postojowych dla samochodów .
566;"TEREN ZESPO£U SZKÓ£ NR 15 WE WROC£AWIU, UL. CHOPINA 9B 
ZALESIE AR_4,2";Zacisze-Zalesie-Szczytniki;edukacja;1200000;Tak;SPORTOWO NA CHOPINA
567;Teren ca³ego miasta;Wroc³aw;inne;100000;Nie;Aplikacja mobilna i strona www - obiekty us³ugowe i u¿ytecznoœci publicznej
568;"-	Ark. 6, dzia³ka 40,5 i 39,8, Obrêb po³udnie. Ul. ¯abia Œcie¿ka, Wroc³aw – Rakowiec, 
-	Fragment dzia³ki: Ark. 6, dzia³ka 39,5, Obrêb po³udnie w zarz¹dzie RZGW Wroc³aw (zgoda w za³¹czeniu)
";Wroc³aw;inne;485000;Nie;Budowa ogólnodostêpnego/bezp³atnego slipu do wodowania ma³ych i œrednich ³odzi na rzece O³awa we Wroc³awiu.
569;Aleja Ludomira Ró¿yckiego 1a 51-608 Wroc³aw nr geodezyjny dzia³ki AM 13 nr 22 obrêb Zalesie;Zacisze-Zalesie-Szczytniki;edukacja;109378;Tak;Modernizacja placu zabaw
570;"Wroc³aw ul.Wapienna    Obrêb Po³udnie AR_28, 41;  AR_28, 57/5";Huby;drogowe;135000;Tak;Remont nawierzchni zakoñczenia ulicy Wapiennej
571;rondo Ronalda Reagana - obrêb pl. Grunwaldzki AM 34 dz. 24/4 AM 32 dz. 30/1, 2/9, 2/10, 1/2;Plac Grunwaldzki;piesze/rowerowe;150000;Tak;Droga rowerowa na rondzie Reagana: wygodny asfalt zamiast nierównej kostki
572;"ul. Krynicka: 6/16 AM-4, 7/6 AM-4, 6/15 AM-4, 2/75 AM-10, 2/81 AM-10; ul. Orzechowa: 1/22 AM-10, 1/24 AM-10, 55/2 AM-8, 1/14 AM-10, 1/26 AM-10, 1/15 AM-10; ul. Kukuczki: 149/10 AM-15, 31 AM-15";Gaj;drogowe;1808150;Nie;Zielone parkingi na Gaju
573;"pl. Franciszkañski
50 - 070 Wroc³aw
nr dz. 78/2; 78/3; 23/2; 19/1 AM-24 Stare Miasto";Stare Miasto;drogowe;1243000;Tak;"""Pomiêdzy muzyk¹, scen¹ a nauk¹"" - poprawa bezpieczeñstwa, estetyki terenu i ulic przy pl. Franciszkañskim."
574;"Inwestycja obejmie zagospodarowanie dzia³ek (AR_9, nr 2/9 i 2/15 Ob.Nowy Dwór) o pow. 2700 m2 zlokalizowanych przy ul. Kroœnieñskiej.

dzia³ka nr 2/9 - 2075 m2

dzia³ka nr 2/15 - 657 m2";Nowy Dwór ;zieleñ/rekreacja;477660;Nie;INTEGRACJA – SPORT – REKREACJA Rekultywacja przestrzeni miêdzyblokowej na Nowym Dworze.
575;"Nazwa obrêbu: Muchobór Ma³y
Numer arkusza mapy 11
Numer dzia³ki 2/1";Muchobór Ma³y;inne;530000;Nie;Buspas Kleciñska
576;od EPI do  ARENY, ul. Komandorska 21-87 i ul. Komandorska 30-66, dz. nr 1/3, AM16 i dz. nr 16/2,  AM 24, dz. nr 3/1, AM 25, dz. nr 17/1, AM 15, obrêb Po³udnie.;Powstañców Œl¹skich;drogowe;1925336;Tak;Rewitalizacja ulicy Komandorskiej 
577;dz. nr 1/1 i 24,  AM-24, obr Stab³owice;Leœnica;inne;100000;Tak;Uporz¹dkowanie terenu przy Krzy¿u, u zbiegu ulic Jeleniogórskiej, Stab³owickiej i Starogajowej.
578;"ul. Wojszycka 1, 53-006 Wroc³aw, teren przy Szkole Podstawowej nr 64 im. W. Broniewskiego
Nazwa obrêbu: Partynice
Numer arkusza mapy: 4
Numer dzia³ki: 124
";Krzyki-Partynice;edukacja;109000;Nie;„Utworzenie miejsca do aktywnego spêdzania wolnego czasu przy Szkole Podstawowej nr 64 we Wroc³awiu wraz z zagospodarowaniem terenu”
579;"Dz. nr 43/3, AM-1, Obrêb Jagodno
Dz. nr 44/2, AM-1, Obrêb Jagodno";Jagodno;drogowe;48000;Tak;Wykonanie nawierzchni z kostki betonowej na ul. Buforowej pomiêdzy ul. Jagodziñsk¹ i Brzozow¹. 
580;"obrêb ulic: ul. Chiñska 2a -b, Chiñska 2c i ty³ budynku ul. 3 Maja 11
Brochów, AR_21, 2/24";Brochów ;place zabaw;285250;Tak;MAJOWY PLAC ZABAW
581;"Osiedle: Krzyki
Ulice: Deszczowa, Skarbowców, Wietrzna, Wawrzyniaka";Krzyki-Partynice;zieleñ/rekreacja;150000;Tak;Wiêcej drzewa na Krzykach!
582;"lokalizacja - zatoka przy ul . Edmonda Micheleta na Osobowicach(1)
dzia³ki nr 1/2 AR_15,  1/6 AR_14 ";Osobowice - Rêdzin;zieleñ/rekreacja;96000;Tak;POMOST NA ODRZE
583;wzd³u¿ ulicy Stab³owickiej, Brockiej, Prackiej oraz Piwowarskiej;Pracze Odrzañskie ;inne;183000;Nie;Zwiêkszenie atrakcyjnoœci Osiedla Pracze Odrzañskie poprzez udostêpnienie edukacyjnej œcie¿ki historycznej oraz powstania miejsca integracji
584;"Park Szczytnicki - AR_5, 3/4
";Wroc³aw;zieleñ/rekreacja;145000;Nie;Arena do treningu Street Workoutu,  Kalisteniki oraz Crossfitu
585;"Ul. Powstañców Œl¹skich, Sky Tower, przystanek tramwajowy ""WIELKA"" (nr 11203 i 11204)";Powstañców Œl¹skich;piesze/rowerowe;2000;Nie;"Budowa przejœcia dla pieszych miêdzy peronami przystanku tramwajowego ""WIELKA"""
586;Skrzy¿owanie Zielna/Mulicka/Gorlicka, dzia³ka nr Psie Pole, AR_22, 91/5;Psie Pole-Zawidawie;drogowe;1000;Tak;Bezpieczne skrzy¿owanie Zielna/Gorlicka.
587;"Muchobór Wielki, AR_21, 16/2
Muchobór Wielki, AR_21, 17/2  
Muchobór Wielki, AR_21, 18/2";Muchobór Wielki;zieleñ/rekreacja;90000;Nie;Miejsce pamiêci i odpoczynku przy ul Stanis³awowskiej
588;"dzia³ka 12/1 oraz 13/1, obrêb KuŸniki, AR_2
ul. Hermanowska / ul. Pucka, osiedle KuŸniki, Wroc³aw
";KuŸniki;zieleñ/rekreacja;500000;Nie;KuŸniki na rolkach - budowa rekreacyjnej œcie¿ki pieszej i upiêkszenie terenu wokó³ górki na osiedlu KuŸniki.
589;"ul.Legnicka/Dobra droga gminna nr G106491 D
Stare Miasto, AM 8, dz. 23/1";Szczepin;drogowe;5000;Tak;Legnicka/Dobra – uspokojenie ruchu
590;ul. Harcerska 25, dzia³ka: Oporów, AR_3, 49 ;Oporów;zieleñ/rekreacja;357000;Tak;O! Pla¿a - udostêpnienie mieszkañcom stawu na terenie nieczynnego k¹pieliska Oporów dla aktywnego wypoczynku i rekreacji nad wod¹
591;TARNOGAJ- ARMII KRAJOWEJ- HUBSKA- GLINIANA- DWORZEC PKS- DWORZEC PKP- PU£ASKIEGO- PL. WRÓBLEWSKIEGO- MOST GRUNWALDZKI- RONDO R. REAGANA- KLINIKI- MICKIEWICZA- SÊPOLNO;Wroc³aw;inne;1996722;Nie;Przywrócenie linii tramwajowej nr 16
592;"ul.Legnicka (róg z Bia³owiesk¹) droga gminna
Popowice, AM-11, dz.2/4
zarz¹d trwa³y ZDiUM";Pilczyce-Kozanów-Popowice P³n.;drogowe;5000;Tak;Legnicka/Bia³owieska – uspokojenie ruchu
593;Ul.Chwa³kowska,  obrêb Stab³owice, arkusz mapy nr 9, dzia³ki: 19/3, 67/3, 67/2, 67/1, 19/2, 32/1, 32/2, 107/7, 107/8, 107/6 oraz w miarê potrzeby 66/1, 71/3, 71/2, 71/6 i 107/5.;Leœnica;drogowe;113750;Tak;Poszerzenie ul. Chwa³kowskiej i budowa chodnika dla pieszych
