Nr projektu;Lokalizacja projektu;Nazwa osiedla;Kategoria projektu;Suma kosztów;Wszystkie opinie;Nazwa projektu
348;dz. nr. 39, 40, 41/1, AM-29, obrêb Po³udnie.;Tarnogaj;drogowe;149736;Tak;,,Budowa ogólnodostêpnej drogi wewnêtrznej wraz z odcinkiem kanalizacji deszczowej”
349;Ul Chodkiewicza dzia³ka 15 AM-3 obrêb Jerzmanowo;Jerzmanowo - Jarno³tów -Strachowice - Osiniec;drogowe;50000;Tak;U³o¿enie nawierzchni asfaltowej
350;"POMIÊDZY UL. PRUSA, UL. BEMA, UL.ŒWIÊTOKRZYSKA
OBRÊB PL.GRUNWALDZKI, AM-16, DZ.NR 2";O³bin;zieleñ/rekreacja;2000000;Tak;SKWER SKACZ¥CEJ GWIAZDY 
351;"Maœlice, AR_6; Typ w³asnoœci: w³asnoœæ Gminy w zarz¹dzie, u¿ytkowaniu; Nazwa obrêbu: Maœlice; Numer arkusza mapy: 6; Numer dzia³ki: 93 i 96; Ulice: Siedlecka i Bia³ostocka
";Maœlice;inne;91000;Tak;Oœwietlenie ulic Siedleckiej i czêœci ulicy Bia³ostockiej
352;Skrzy¿owanie ul. Siedlecka / Bia³ostocka, obrêb Maœlice, AR_6, dzia³ka 97;Maœlice;place zabaw;148500;Nie;Budowa placu zabaw na Maœlicach - ul. Siedlecka i Bia³ostocka
353;wyspa pomiêdzy rzek¹ Widaw¹ a M³ynówk¹, dzia³ka nr 13,AM 1 , obrêb Widawa;Widawa;zieleñ/rekreacja;150000;Nie;"Uporz¹dkowanie terenu zielonego ""Park Widawski"""
354;"teren przy Szkole Podstawowej nr 30 ul. Zaporoska 28 53-523 Wroc³aw; / Po³udnie, AR_22, 1/2 ";Powstañców Œl¹skich;edukacja;495752;Tak;EUROPEJSKA STREFA ZABAWY / przebudowa terenu przy Szkole Podstawowej nr 30, przy ul. Zaporoskiej 28 we Wroc³awiu 
355;Adres: ul. Reja 36 - 40, numer geodezyjny: Obrêb Plac Grunwaldzki AR_15 , 85/2;O³bin;rewitalizacja;87000;Tak;#PodworkoNaReja - poprawa stanu zieleni, nawierzchni i wykonanie odwodnienia
356;"SKRZY¯OWANIE ULIC GEN. KAZIMIERZA PU£ASKIEGO I TADEUSZA KOŒCIUSZKI
OBRÊB .PO£UDNIE, AM-8, DZ.NR 90/8, 71, czêœæ 64/15, czêœæ 64/16
AM- 9, DZ.NR 65/71, 70
";Przedmieœcie O³awskie;zieleñ/rekreacja;2000000;Nie;PLAC AMERYKAÑSKI
357;"Obrêb G¹dów Ma³y Dzia³ka nr. 5/273
 ok. 0,8 ha przedmiotowej dzia³ki przeznaczona w MPZP pod tereny zieleni";G¹dów-Popowice P³d. ;zieleñ/rekreacja;100000;Nie;Zagospodarowanie przestrzeni miêdzy blokowej. Stworzenie parku dla mieszkañców Osiedla Kosmonautów, pomiêdzy ulicami Drzewieckiego , Bajana i bulwaru Dedala
