,0,1
763,1.0,14.0
765,3.0,74.0
766,18.0,29.0
767,0.0,14.0
768,3.0,50.0
769,2.0,35.0
770,12.0,137.0
771,1.0,19.0
773,3.0,7.0
776,9.0,10.0
778,1.0,33.0
779,3.0,59.0
781,6.0,38.0
783,3.0,23.0
785,7.0,68.0
786,49.0,410.0
787,51.0,652.0
788,57.0,807.0
796,4.0,18.0
797,0.0,1.0
798,11.0,64.0
800,2.0,19.0
802,6.0,90.0
803,163.0,1041.0
804,4.0,41.0
805,2.0,77.0
806,8.0,33.0
807,1.0,5.0
809,1.0,14.0
810,192.0,422.0
811,11.0,81.0
812,69.0,583.0
813,25.0,117.0
815,0.0,27.0
816,33.0,151.0
817,3.0,21.0
